key,day_of_month,avg_units,avg_values,num_observations
Amazon_ACRO95,17,112.96,24129.330901220343,25
Amazon_ACRO95,18,111.6,23852.512785559324,25
Amazon_ACRO95,19,109.56,23426.80192420339,25
Amazon_ACRO95,20,119.28,25508.2828,25
Amazon_ACRO95,21,124.95833333333333,26830.12902930791,24
Amazon_ACRO95,22,146.6,31263.725464000003,25
Amazon_ACRO95,23,177.04166666666666,37778.198325,24
Amazon_ACRO95,24,146.875,31427.654259180796,24
Amazon_ACRO95,25,132.20833333333334,28234.90928439266,24
Amazon_ACRO95,26,143.125,30641.958659322034,24
Amazon_ACRO95,27,170.08,36569.3488061017,25
Amazon_ACRO95,28,153.2,32949.124865762715,25
Amazon_ACRO95,29,136.16666666666666,29246.931398305085,24
Amazon_ACRO95,30,125.34782608695652,26933.98422918202,23
Amazon_ACRO95,31,110.2,23580.72218644068,15
Amazon_AGNAJ,1,55.791666666666664,7358.64783861582,24
Amazon_AGNAJ,2,72.44,9562.78315943729,25
Amazon_AGNAJ,3,70.6,9309.478127118644,25
Amazon_AGNAJ,4,68.28,8990.39677964068,25
Amazon_AGNAJ,5,64.84,8532.92885341017,25
Amazon_AGNAJ,6,66.79166666666667,8795.57572161017,24
Amazon_AGNAJ,7,63.8,8386.925574088136,25
Amazon_AGNAJ,8,58.12,7647.8747269152545,25
Amazon_AGNAJ,9,63.76,8382.16978301695,25
Amazon_AGNAJ,10,94.84,12428.091564359323,25
Amazon_AGNAJ,11,46.48,6118.149193220339,25
Amazon_AGNAJ,12,44.68,5894.420427322034,25
Amazon_AGNAJ,13,48.12,6339.105199145763,25
Amazon_AGNAJ,14,44.4,5860.325545172882,25
Amazon_AGNAJ,15,44.84,5914.257703647458,25
Amazon_AGNAJ,16,42.04,5534.366184,25
Amazon_AGNAJ,17,43.88,5794.233882555933,25
Amazon_AGNAJ,18,44.12,5819.800088867796,25
Amazon_AGNAJ,19,44.48,5858.667816155932,25
Amazon_AGNAJ,20,45.64,6022.393274169492,25
Amazon_AGNAJ,21,51.125,6734.703372161017,24
Amazon_AGNAJ,22,51.68,6800.522081322034,25
Amazon_AGNAJ,23,51.791666666666664,6819.488030826272,24
Amazon_AGNAJ,24,49.333333333333336,6484.625784420904,24
Amazon_AGNAJ,25,47.34782608695652,6225.173149226234,23
Amazon_AGNAJ,26,49.43478260869565,6487.1628610537955,23
Amazon_AGNAJ,27,49.24,6471.386484237289,25
Amazon_AGNAJ,28,52.76,6942.857674983051,25
Amazon_AGNAJ,29,50.583333333333336,6657.164814668079,24
Amazon_AGNAJ,30,51.08695652173913,6717.07090101695,23
Amazon_AGNAJ,31,47.06666666666667,6183.11865,15
Amazon_AGNAM9,1,90.34782608695652,28555.61209745763,23
Amazon_AGNAM9,2,83.41666666666667,26369.939064971753,24
Amazon_AGNAM9,3,79.32,25070.509470983056,25
Amazon_AGNAM9,4,87.8,27748.840103715258,25
Amazon_AGNAM9,5,87.24,27573.430960203394,25
Amazon_AGNAM9,6,79.44,25109.403769728815,25
Amazon_AGNAM9,7,85.48,27018.925649864414,25
Amazon_AGNAM9,8,87.0,27496.0196888678,25
Amazon_AGNAM9,9,90.625,28640.309879378536,24
Amazon_AGNAM9,10,91.68,28979.254598610172,25
Amazon_AGNAM9,11,102.04,32251.578483559326,25
Amazon_AGNAM9,12,94.88,29988.350583830514,25
Amazon_AGNAM9,13,67.28,21264.484108494922,25
Amazon_AGNAM9,14,68.56,21668.5111029017,25
Amazon_AGNAM9,15,74.28,23481.842818101697,25
Amazon_AGNAM9,16,67.76,21421.842448474577,25
Amazon_AGNAM9,17,74.84,23655.578483206784,25
Amazon_AGNAM9,18,69.92,22099.762407545764,25
Amazon_AGNAM9,19,66.8,21117.378732542376,25
Amazon_AGNAM9,20,67.4,21305.67173946441,25
Amazon_AGNAM9,21,81.66666666666667,25812.396348750004,24
Amazon_AGNAM9,22,69.29166666666667,21903.239473714693,24
Amazon_AGNAM9,23,55.69565217391305,17608.485181156964,23
Amazon_AGNAM9,24,58.391304347826086,18454.984000648492,23
Amazon_AGNAM9,25,61.30434782608695,19381.093447789244,23
Amazon_AGNAM9,26,56.75,17943.66036125,24
Amazon_AGNAM9,27,69.5,21969.583980494353,24
Amazon_AGNAM9,28,65.875,20825.25650394068,24
Amazon_AGNAM9,29,59.0,18656.966596454804,24
Amazon_AGNAM9,30,64.73913043478261,20467.099784487844,23
Amazon_AGNAM9,31,67.46666666666667,21328.4657900113,15
Amazon_AGNFJ,1,14.642857142857142,1927.7966144309928,14
Amazon_AGNFJ,2,25.307692307692307,3320.938724576272,13
Amazon_AGNFJ,3,31.0,4059.3462477360777,14
Amazon_AGNFJ,4,27.23076923076923,3565.0325961929598,13
Amazon_AGNFJ,5,21.90909090909091,2871.525425269646,11
Amazon_AGNFJ,6,19.0,2510.4237493644073,12
Amazon_AGNFJ,7,14.5,1912.478882062147,12
Amazon_AGNFJ,8,15.333333333333334,2021.6384092796613,12
Amazon_AGNFJ,9,15.25,2033.6652992937854,12
Amazon_AGNFJ,10,16.615384615384617,2227.82265559322,13
Amazon_AGNFJ,11,14.307692307692308,1922.3468191003913,13
Amazon_AGNFJ,12,15.833333333333334,2123.248595861582,12
Amazon_AGNFJ,13,11.636363636363637,1546.1016938366718,11
Amazon_AGNFJ,14,12.2,1625.762706101695,15
Amazon_AGNFJ,15,12.857142857142858,1708.329296416465,14
Amazon_AGNFJ,16,14.6,1949.4237434802262,15
Amazon_AGNFJ,17,15.357142857142858,2084.1404125907993,14
Amazon_AGNFJ,18,22.214285714285715,3026.198552542373,14
Amazon_AGNFJ,19,23.625,3211.9068367372884,16
Amazon_AGNFJ,20,25.785714285714285,3470.726391283293,14
Amazon_AGNFJ,21,18.866666666666667,2515.2090406779666,15
Amazon_AGNFJ,22,25.5,3398.2808757869248,14
Amazon_AGNFJ,23,14.428571428571429,1900.6295445520584,14
Amazon_AGNFJ,24,19.846153846153847,2603.859195958279,13
Amazon_AGNFJ,25,17.083333333333332,2241.638418220339,12
Amazon_AGNFJ,26,17.416666666666668,2287.005648983051,12
Amazon_AGNFJ,27,18.25,2401.3559221751416,12
Amazon_AGNFJ,28,16.571428571428573,2182.687657663438,14
Amazon_AGNFJ,29,16.583333333333332,2190.367234378531,12
Amazon_AGNFJ,30,20.666666666666668,2712.0903951412433,12
Amazon_AGNFJ,31,17.125,2262.9237306779664,8
Amazon_AGNSJ,1,18.285714285714285,2402.4213048547217,14
Amazon_AGNSJ,2,20.9375,2755.3601619809324,16
Amazon_AGNSJ,3,21.333333333333332,2801.0847520338984,15
Amazon_AGNSJ,4,21.8125,2862.563560603814,16
Amazon_AGNSJ,5,25.214285714285715,3321.5738654600486,14
Amazon_AGNSJ,6,21.214285714285715,2800.338973874092,14
Amazon_AGNSJ,7,23.266666666666666,3081.242931683616,15
Amazon_AGNSJ,8,25.615384615384617,3397.2359932724908,13
Amazon_AGNSJ,9,25.76923076923077,3410.71706512386,13
Amazon_AGNSJ,10,22.2,2949.740143480226,15
Amazon_AGNSJ,11,23.88235294117647,3175.8524664406777,17
Amazon_AGNSJ,12,23.875,3179.7457748622883,16
Amazon_AGNSJ,13,23.1875,3103.072026175848,16
Amazon_AGNSJ,14,17.3125,2309.9999970868644,16
Amazon_AGNSJ,15,16.4375,2192.775438845339,16
Amazon_AGNSJ,16,18.8,2493.5819309604517,15
Amazon_AGNSJ,17,16.625,2224.0042133898305,16
Amazon_AGNSJ,18,20.733333333333334,2777.220326745763,15
Amazon_AGNSJ,19,19.866666666666667,2669.830474101695,15
Amazon_AGNSJ,20,17.5625,2353.1144224364407,16
Amazon_AGNSJ,21,16.2,2177.627133220339,15
Amazon_AGNSJ,22,20.8,2796.8587635932204,15
Amazon_AGNSJ,23,16.384615384615383,2169.022147131682,13
Amazon_AGNSJ,24,15.153846153846153,2010.4041594263365,13
Amazon_AGNSJ,25,19.923076923076923,2637.7053370273793,13
Amazon_AGNSJ,26,22.454545454545453,2971.8644619414486,11
Amazon_AGNSJ,27,19.916666666666668,2633.7853316384185,12
Amazon_AGNSJ,28,16.285714285714285,2137.142844636804,14
Amazon_AGNSJ,29,14.846153846153847,1949.3089954628424,13
Amazon_AGNSJ,30,16.363636363636363,2151.186437442219,11
Amazon_AGNSJ,31,18.0,2382.7118785310736,6
Amazon_AGNSM9,1,30.11764705882353,9523.297900937192,17
Amazon_AGNSM9,2,46.470588235294116,14687.315532562316,17
Amazon_AGNSM9,3,52.705882352941174,16659.255194197412,17
Amazon_AGNSM9,4,41.888888888888886,13238.965495367234,18
Amazon_AGNSM9,5,44.1875,13964.373414385596,16
Amazon_AGNSM9,6,38.125,12048.848645370765,16
Amazon_AGNSM9,7,31.41176470588235,9927.273301405785,17
Amazon_AGNSM9,8,39.642857142857146,12528.150728450366,14
Amazon_AGNSM9,9,33.11764705882353,10466.018443788636,17
Amazon_AGNSM9,10,37.8125,11949.711334279662,16
Amazon_AGNSM9,11,35.388888888888886,11183.788609397367,18
Amazon_AGNSM9,12,30.235294117647058,9555.121634436691,17
Amazon_AGNSM9,13,26.0,8223.369758358609,19
Amazon_AGNSM9,14,24.705882352941178,7820.540690488537,17
Amazon_AGNSM9,15,24.25,7676.894225635595,16
Amazon_AGNSM9,16,21.944444444444443,6940.060540602638,18
Amazon_AGNSM9,17,34.625,10956.416693305086,16
Amazon_AGNSM9,18,26.5,8382.092377175142,18
Amazon_AGNSM9,19,25.625,8106.118113707628,16
Amazon_AGNSM9,20,42.38461538461539,13405.354932698829,13
Amazon_AGNSM9,21,35.05555555555556,11086.539879152544,18
Amazon_AGNSM9,22,32.473684210526315,10268.579630454953,19
Amazon_AGNSM9,23,35.0,11067.673744506483,17
Amazon_AGNSM9,24,35.1875,11130.008095466104,16
Amazon_AGNSM9,25,32.1764705882353,10171.082088155536,17
Amazon_AGNSM9,26,31.0,9812.421345842475,17
Amazon_AGNSM9,27,29.36842105263158,9311.77234908118,19
Amazon_AGNSM9,28,23.833333333333332,7592.014887532958,18
Amazon_AGNSM9,29,26.1875,8368.29368387712,16
Amazon_AGNSM9,30,29.466666666666665,9417.768386192092,15
Amazon_AGNSM9,31,36.9,11669.228914000001,10
Amazon_ASPCB4M,1,417.0416666666667,79455.86196822034,24
Amazon_ASPCB4M,2,480.4,90407.07051525424,25
Amazon_ASPCB4M,3,607.92,114162.6354461017,25
Amazon_ASPCB4M,4,521.48,99316.37744474577,25
Amazon_ASPCB4M,5,517.52,100713.66572745763,25
Amazon_ASPCB4M,6,399.0,76759.94243389831,25
Amazon_ASPCB4M,7,415.12,78749.40481627118,25
Amazon_ASPCB4M,8,370.4,70369.38546576271,25
Amazon_ASPCB4M,9,337.04,64049.17176677966,25
Amazon_ASPCB4M,10,652.84,119573.61736522034,25
Amazon_ASPCB4M,11,313.0,58852.658894644075,25
Amazon_ASPCB4M,12,382.6,74536.83146372881,25
Amazon_ASPCB4M,13,259.04,49210.53773016949,25
Amazon_ASPCB4M,14,274.8,52034.05343484746,25
Amazon_ASPCB4M,15,247.6,47109.113290644076,25
Amazon_ASPCB4M,16,258.2,49392.64886013559,25
Amazon_ASPCB4M,17,267.0,50396.49335769491,25
Amazon_ASPCB4M,18,345.84,65068.639168135596,25
Amazon_ASPCB4M,19,425.52,79660.23247003391,25
Amazon_ASPCB4M,20,375.8,70137.25902576272,25
Amazon_ASPCB4M,21,399.64,76626.02570372881,25
Amazon_ASPCB4M,22,347.6,65626.04787254237,25
Amazon_ASPCB4M,23,309.7083333333333,58235.91430579096,24
Amazon_ASPCB4M,24,269.9583333333333,51417.5267690678,24
Amazon_ASPCB4M,25,328.25,61880.48807231639,24
Amazon_ASPCB4M,26,299.25,56714.44722224576,24
Amazon_ASPCB4M,27,275.28,51913.93699294915,25
Amazon_ASPCB4M,28,279.88,52706.15021423729,25
Amazon_ASPCB4M,29,278.2916666666667,52122.467992937854,24
Amazon_ASPCB4M,30,277.9130434782609,52271.60729528371,23
Amazon_ASPCB4M,31,327.4,62561.017248022596,15
Amazon_ASPGM4M,1,216.125,45243.71003509887,24
Amazon_ASPGM4M,2,289.52,61217.782115552545,25
Amazon_ASPGM4M,3,294.08,62056.62975159323,25
Amazon_ASPGM4M,4,243.6,51029.11887457627,25
Amazon_ASPGM4M,5,299.68,62903.0267620339,25
Amazon_ASPGM4M,6,245.6,51498.32448705085,25
Amazon_ASPGM4M,7,245.84,51813.57377830509,25
Amazon_ASPGM4M,8,311.08,65808.99297918644,25
Amazon_ASPGM4M,9,276.92,58360.532710644075,25
Amazon_ASPGM4M,10,339.24,71819.29778094914,25
Amazon_ASPGM4M,11,255.48,53935.748075050855,25
Amazon_ASPGM4M,12,193.36,40650.65887979661,25
Amazon_ASPGM4M,13,195.72,41282.23249355932,25
Amazon_ASPGM4M,14,198.36,41689.45286901695,25
Amazon_ASPGM4M,15,196.72,41419.59797355932,25
Amazon_ASPGM4M,16,220.32,46528.644254372884,25
Amazon_ASPGM4M,17,287.72,61036.06751661017,25
Amazon_ASPGM4M,18,241.56,51135.45239708475,25
Amazon_ASPGM4M,19,215.76,45743.55944305085,25
Amazon_ASPGM4M,20,197.68,41850.37289765424,25
Amazon_ASPGM4M,21,176.16,37193.990172,25
Amazon_ASPGM4M,22,175.4,37192.15983511865,25
Amazon_ASPGM4M,23,209.54166666666666,44686.11782768362,24
Amazon_ASPGM4M,24,202.0,42995.84851362995,24
Amazon_ASPGM4M,25,208.25,44345.873757274014,24
Amazon_ASPGM4M,26,200.20833333333334,42630.16550861582,24
Amazon_ASPGM4M,27,288.48,61679.3269553695,25
Amazon_ASPGM4M,28,231.92,49552.842731661025,25
Amazon_ASPGM4M,29,191.25,40648.18402549435,24
Amazon_ASPGM4M,30,205.2608695652174,43525.73458142963,23
Amazon_ASPGM4M,31,199.33333333333334,42097.45769827119,15
Amazon_ASPLU4M,1,357.3333333333333,68177.40151694916,24
Amazon_ASPLU4M,2,618.88,116362.4800602034,25
Amazon_ASPLU4M,3,578.84,108141.82029491528,25
Amazon_ASPLU4M,4,527.88,101213.36664135594,25
Amazon_ASPLU4M,5,525.48,100014.60575871187,25
Amazon_ASPLU4M,6,392.84,74986.56688551865,25
Amazon_ASPLU4M,7,423.36,79917.73388149153,25
Amazon_ASPLU4M,8,544.48,101390.42115864408,25
Amazon_ASPLU4M,9,389.68,73998.07270562713,25
Amazon_ASPLU4M,10,562.16,104075.46710301017,25
Amazon_ASPLU4M,11,520.64,96694.44040244068,25
Amazon_ASPLU4M,12,490.6,94978.73184474577,25
Amazon_ASPLU4M,13,377.2,72159.46797220339,25
Amazon_ASPLU4M,14,347.2,67051.44852684745,25
Amazon_ASPLU4M,15,327.52,63526.64325182373,25
Amazon_ASPLU4M,16,349.4,66936.42604515255,25
Amazon_ASPLU4M,17,425.52,80220.89115284069,25
Amazon_ASPLU4M,18,614.8,114232.82294395931,25
Amazon_ASPLU4M,19,493.32,92384.62008203389,25
Amazon_ASPLU4M,20,447.64,84226.70177945762,25
Amazon_ASPLU4M,21,319.0,62126.64898569492,25
Amazon_ASPLU4M,22,368.84,72089.93615471186,25
Amazon_ASPLU4M,23,315.875,60045.366375918085,24
Amazon_ASPLU4M,24,324.0416666666667,60884.9280730226,24
Amazon_ASPLU4M,25,348.1666666666667,65508.384033545204,24
Amazon_ASPLU4M,26,386.0833333333333,73105.84115480226,24
Amazon_ASPLU4M,27,320.4,60454.52774766102,25
Amazon_ASPLU4M,28,316.76,59855.54446433898,25
Amazon_ASPLU4M,29,286.8333333333333,54677.90565070621,24
Amazon_ASPLU4M,30,277.69565217391306,52821.46560221077,23
Amazon_ASPLU4M,31,275.2,52005.08429661017,15
Amazon_BGPOA2,1,1.8333333333333333,1470.903966384181,6
Amazon_BGPOA2,2,2.75,2136.8644042372885,4
Amazon_BGPOA2,3,1.3333333333333333,1077.1186398305085,6
Amazon_BGPOA2,4,1.5,1181.3559296610172,2
Amazon_BGPOA2,5,1.5,1216.1016898305086,4
Amazon_BGPOA2,6,1.1666666666666667,938.1355906779662,6
Amazon_BGPOA2,7,1.0,833.8983,1
Amazon_BGPOA2,8,1.0,764.4067796610171,4
Amazon_BGPOA2,9,2.5714285714285716,2035.1089559322038,7
Amazon_BGPOA2,10,2.111111111111111,1683.2391691148778,9
Amazon_BGPOA2,11,4.571428571428571,3653.2687406779664,7
Amazon_BGPOA2,12,3.625,2901.2711656779666,8
Amazon_BGPOA2,13,2.75,2154.2372849576273,8
Amazon_BGPOA2,14,2.2222222222222223,1768.1732563088515,9
Amazon_BGPOA2,15,2.6,2091.694898644068,10
Amazon_BGPOA2,16,1.5714285714285714,1280.629537772397,7
Amazon_BGPOA2,17,2.1666666666666665,1737.2881146892657,6
Amazon_BGPOA2,18,2.5454545454545454,2015.2542249614794,11
Amazon_BGPOA2,19,2.5714285714285716,2064.8910375302667,7
Amazon_BGPOA2,20,2.75,2188.983071398305,8
Amazon_BGPOA2,21,1.8333333333333333,1436.1581903954805,6
Amazon_BGPOA2,22,4.6,3571.8643837288146,5
Amazon_BGPOA2,23,4.6,3627.4575789830515,5
Amazon_BGPOA2,24,2.0,1554.872879449153,8
Amazon_BGPOA2,25,2.3333333333333335,1853.1073728813562,6
Amazon_BGPOA2,26,4.4,3405.084742711865,5
Amazon_BGPOA2,27,4.6,3530.1694905084755,5
Amazon_BGPOA2,28,4.0,3127.1186556497178,6
Amazon_BGPOA2,29,2.8333333333333335,2177.4011290960457,6
Amazon_BGPOA2,30,2.8333333333333335,2246.8926661016953,6
Amazon_BGPOA2,31,0.3333333333333333,254.8022598870057,3
Amazon_BGPSH2,1,5.529411764705882,1921.23629996012,17
Amazon_BGPSH2,2,5.894736842105263,2048.1712789652097,19
